"","X","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread","is.token","eth.based"
"4716",4716,"ethereum","ETH","Ethereum","2017-08-05",3,222.85,256.51,221.95,256.51,1332999936,24061766194,1,34.56,FALSE,FALSE
"4717",4717,"ethereum","ETH","Ethereum","2017-08-06",3,256.42,271.05,252.85,261.57,1482979968,24541904159,0.4791,18.2,FALSE,FALSE
"4718",4718,"ethereum","ETH","Ethereum","2017-08-07",3,261.24,271.96,256.69,269.18,935726976,25262099071,0.8179,15.27,FALSE,FALSE
"4719",4719,"ethereum","ETH","Ethereum","2017-08-08",3,269.1,298.91,266.8,296.77,1502409984,27857712299,0.9334,32.11,FALSE,FALSE
"4720",4720,"ethereum","ETH","Ethereum","2017-08-09",3,297.63,318.72,276.69,296.03,2638579968,27794475648,0.4601,42.03,FALSE,FALSE
"4721",4721,"ethereum","ETH","Ethereum","2017-08-10",3,296.96,306.59,289.93,295.89,1076819968,27788165832,0.3577,16.66,FALSE,FALSE
"4722",4722,"ethereum","ETH","Ethereum","2017-08-11",3,294.49,309.21,294.49,308.86,953576000,29013166489,0.9762,14.72,FALSE,FALSE
"4723",4723,"ethereum","ETH","Ethereum","2017-08-12",3,308.71,317.56,307.9,310.6,1111650048,29183139234,0.2795,9.66,FALSE,FALSE
"4724",4724,"ethereum","ETH","Ethereum","2017-08-13",3,310.37,310.82,289.31,298.06,1369369984,28011760531,0.4068,21.51,FALSE,FALSE
"4725",4725,"ethereum","ETH","Ethereum","2017-08-14",3,298.03,306.81,296.41,300.1,864390976,28209451117,0.3548,10.4,FALSE,FALSE
"4726",4726,"ethereum","ETH","Ethereum","2017-08-15",3,299.95,300.41,279.33,289.82,1051800000,27249639651,0.4976,21.08,FALSE,FALSE
"4727",4727,"ethereum","ETH","Ethereum","2017-08-16",3,289.82,303.41,285.39,302.27,967643008,28426961863,0.9367,18.02,FALSE,FALSE
"4728",4728,"ethereum","ETH","Ethereum","2017-08-17",3,302.8,311.03,300.25,301.46,909494016,28357573570,0.1122,10.78,FALSE,FALSE
"4729",4729,"ethereum","ETH","Ethereum","2017-08-18",3,301.7,307.96,292.5,295.59,936160000,27812276026,0.1999,15.46,FALSE,FALSE
"4730",4730,"ethereum","ETH","Ethereum","2017-08-19",3,296.18,301.67,286.18,297.47,860201984,27995885731,0.7289,15.49,FALSE,FALSE
"4731",4731,"ethereum","ETH","Ethereum","2017-08-20",3,296.64,301.43,291.58,301.43,571947008,28375046491,1,9.85,FALSE,FALSE
"4732",4732,"ethereum","ETH","Ethereum","2017-08-21",3,300.48,347.05,297.23,321.59,2448969984,30280406340,0.489,49.82,FALSE,FALSE
"4733",4733,"ethereum","ETH","Ethereum","2017-08-22",3,321.05,327.36,297.91,314.79,1336400000,29646659314,0.5732,29.45,FALSE,FALSE
"4734",4734,"ethereum","ETH","Ethereum","2017-08-23",3,315.27,324.21,314.54,317.52,811990016,29911326162,0.3082,9.67,FALSE,FALSE
"4735",4735,"ethereum","ETH","Ethereum","2017-08-24",3,317.45,327.96,317.08,325.61,697665024,30680964300,0.784,10.88,FALSE,FALSE
"4736",4736,"ethereum","ETH","Ethereum","2017-08-25",3,326.11,336.4,325.8,331.92,760329024,31281210162,0.5774,10.6,FALSE,FALSE
"4737",4737,"ethereum","ETH","Ethereum","2017-08-26",3,331.99,334.98,327.92,333.88,514180992,31472781162,0.8442,7.06,FALSE,FALSE
"4738",4738,"ethereum","ETH","Ethereum","2017-08-27",3,334.36,347.89,334.36,347.89,633369984,32799991739,1,13.53,FALSE,FALSE
"4739",4739,"ethereum","ETH","Ethereum","2017-08-28",3,350.04,352.05,338.41,347.75,854318976,32792635350,0.6848,13.64,FALSE,FALSE
"4740",4740,"ethereum","ETH","Ethereum","2017-08-29",3,347.96,373.76,347.79,370.67,1220029952,34961063278,0.881,25.97,FALSE,FALSE
"4741",4741,"ethereum","ETH","Ethereum","2017-08-30",3,369.47,388.75,361.97,378.48,1333319936,35705639885,0.6165,26.78,FALSE,FALSE
"4742",4742,"ethereum","ETH","Ethereum","2017-08-31",3,378.44,386.14,376.35,383.04,706254016,36142706814,0.6834,9.79,FALSE,FALSE
"4743",4743,"ethereum","ETH","Ethereum","2017-09-01",3,383.47,390.04,383.47,387.74,874222016,36593410761,0.6499,6.57,FALSE,FALSE
"4744",4744,"ethereum","ETH","Ethereum","2017-09-02",3,387.82,389.35,328.1,348.98,1483600000,32942250738,0.3409,61.25,FALSE,FALSE
"4745",4745,"ethereum","ETH","Ethereum","2017-09-03",3,350.23,366.49,332.23,347.48,986265984,32807142041,0.4451,34.26,FALSE,FALSE
"4746",4746,"ethereum","ETH","Ethereum","2017-09-04",3,347.13,347.13,279.94,295.17,1801689984,27873682151,0.2267,67.19,FALSE,FALSE
"4747",4747,"ethereum","ETH","Ethereum","2017-09-05",3,297.57,318.57,268.29,312.99,1551049984,29562162666,0.889,50.28,FALSE,FALSE
"4748",4748,"ethereum","ETH","Ethereum","2017-09-06",3,313.8,334.66,313.49,334.34,1058830016,31584914370,0.9849,21.17,FALSE,FALSE
"4749",4749,"ethereum","ETH","Ethereum","2017-09-07",3,333.52,333.52,319.94,329.43,718624000,31127463390,0.6988,13.58,FALSE,FALSE
"4750",4750,"ethereum","ETH","Ethereum","2017-09-08",3,329.64,329.64,285.16,296.5,1098780032,28021550341,0.2549,44.48,FALSE,FALSE
"4751",4751,"ethereum","ETH","Ethereum","2017-09-09",3,296.17,299.89,287.22,294.4,528620992,27829435118,0.5667,12.67,FALSE,FALSE
"4752",4752,"ethereum","ETH","Ethereum","2017-09-10",3,294.06,294.76,268.97,288.75,698326016,27300089799,0.767,25.79,FALSE,FALSE
"4753",4753,"ethereum","ETH","Ethereum","2017-09-11",3,289.74,300.69,286.68,294.53,571307008,27852586150,0.5603,14.01,FALSE,FALSE
"4754",4754,"ethereum","ETH","Ethereum","2017-09-12",3,294.63,311.2,287.23,291.46,753144000,27568017613,0.1765,23.97,FALSE,FALSE
